Unnamed: 0, Residential Aged Care Home Expenditure for the quarter 1 April to 30 June 2025,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
, - Physiotherapist ,0,,0,0,0,
, - Occupational therapist,0,,0,0,0,
, - Speech pathologist,0,,0,0,0,
, - Podiatrist,0,,0,0,0,
, - Dietetic care,0,,0,0,0,Linked to Food & Nutrition tab
, - Other allied health,0,,0,0,0,
, - Allied health assistants,0,,0,0,0,
,◦ Diversional/Lifestyle/Recreation/Activities officer ,0,,0,0,0,
,Total Employee Direct Care Worked Hours,0,,0,0,0,calculated
,Agency Staff Worked Hours - Direct Care Detail,,,,,,
,◦ Registered nurses,0,,0,0,0,calculated
," - Morning Shift (e.g., 7am-3pm)",0,,0,0,0,
," - Afternoon Shift(e.g.,3pm-11pm)",0,,0,0,0,
," - Overnight Shift(e.g.,11pm-7am)",0,,0,0,0,
,◦ Enrolled nurses (registered with the NMBA) ,0,,0,0,0,
,◦ Personal care workers / assistant in nursing,0,,0,0,0,
,◦ Care management staff,0,,0,0,0,
,◦ Allied health ,0,,0,0,0,calculated
, - Physiotherapist ,0,,0,0,0,
, - Occupational therapist,0,,0,0,0,
, - Speech pathologist,0,,0,0,0,
, - Podiatrist,0,,0,0,0,
, - Dietetic care,0,,0,0,0,Linked to Food & Nutrition tab
, - Other allied health,0,,0,0,0,
, - Allied health assistants,0,,0,0,0,
,◦ Diversional/Lifestyle/Recreation/Activities officer ,0,,0,0,0,
,Total Agency Staff Worked Hours - Direct Care,0,,0,0,0,calculated
,Total Direct Care Labour Worked Hours,0,,0,0,0,calculated
,,,,,,,
,Non-worked hours (for all categories above),,,,,,
,◦ Non-worked hours,0,,0,0,0,
,,,,,,,
,Labour - Hourly Rates of Pay,,,,,,
,◦ Registered nurses - Highest Rate,0,,,,,
,◦ Registered nurses - Average Rate,0,,,,,
,◦ Registered nurses - Lowest Rate,0,,,,,
,◦ Enrolled nurses (registered with the NMBA) - Highest Rate,0,,,,,
,◦ Enrolled nurses (registered with the NMBA) - Average Rate,0,,,,,
,◦ Enrolled nurses (registered with the NMBA) - Lowest Rate,0,,,,,
,◦ Personal care workers / assistant in nursing - Highest Rate,0,,,,,
,◦ Personal care workers / assistant in nursing - Average Rate,0,,,,,
,◦ Personal care workers / assistant in nursing - Lowest Rate,0,,,,,
,,,,,,,
,Bed Days,,,,,,
,◦ Occupied bed days,0,,0,0,0,
,◦ Available bed days,0,,0,0,0,
,,,,,,,
,Direct Care Minutes (worked) Per Occupied Bed Day,,,,,,
,◦ Registered nurses care minutes per occupied bed day,0,,0,0,0,calculated
,◦ Enrolled nurses (registered with the NMBA) care minutes per occupied bed day,0,,0,0,0,calculated
,◦ Personal care workers / assistant in nursing care minutes per occupied bed day,0,,0,0,0,calculated
,"Total direct care minutes (worked) of Registered nurses, Enrolled nurses(registered with the NMBA) and Personal care workers/Assistant in nursing per occupied bed day",0,,0,0,0,calculated
,,,,,,,
,Outbreak Management Expenses,,,,,,
,"Outbreak Management Expenses relate to all outbreak management expenses and is not just limited to direct care expenses.
The values reported in this section are independent of the care labour costs reported above and are not required to add to a total. Do not reduce the care labour expenses by the amounts reported in the Outbreak Management Expense section.",,,,,,
,◦ Infection Prevention and Control (IPC) lead costs,0,,0,0,0,
,◦ Residential Support costs,0,,0,0,0,
,◦ Preventative measures costs,0,,0,0,0,
,◦ Employee and agency labour costs,0,,0,0,0,
,◦ Other outbreak costs,0,,0,0,0,
,"Explanation required if (Other outbreak costs/Total outbreak management costs) > 30% (service level)
You have reported other outbreak costs to be greater than 30% of total outbreak management costs. Please provide a detailed breakdown listing the different expenses reported in this category (description and amount)",,,Explanation,Explanation,Explanation,
,Total Outbreak Management Costs,0,,0,0,0,
